observation_date,DTCTLVENANQ_CPIAUCSL
2019-07-01,39266.35763
2019-10-01,39212.82954
2020-01-01,40344.04318
2020-04-01,45660.60252
2020-07-01,42664.65788
2020-10-01,41232.24994
2021-01-01,41394.20631
2021-04-01,40292.63525
2021-07-01,41257.45393
2021-10-01,43298.30615
2022-01-01,42558.33339
2022-04-01,41623.22284
2022-07-01,43359.67135
2022-10-01,42124.95341
2023-01-01,41387.36202
2023-04-01,40686.19657
2023-07-01,40232.14849
2023-10-01,39885.20983
2024-01-01,39816.14897
2024-04-01,40102.58235
2024-07-01,39913.69611
